,real,predicted,diff
227,7,6,1
228,7,6,1
229,5,5,0
230,6,6,0
231,5,5,0
232,6,6,0
233,6,5,1
234,4,5,-1
235,7,7,0
236,6,6,0
237,4,6,-2
238,6,6,0
239,7,6,1
240,6,6,0
241,4,5,-1
242,7,6,1
243,6,6,0
244,7,6,1
245,5,6,-1
246,4,6,-2
247,5,5,0
248,5,6,-1
249,6,5,1
250,6,6,0
251,4,6,-2
252,5,6,-1
253,5,5,0
254,7,6,1
255,6,5,1
256,6,6,0
257,5,6,-1
258,6,6,0
259,5,6,-1
260,5,6,-1
261,6,5,1
262,5,6,-1
263,6,5,1
264,7,6,1
265,6,6,0
266,6,5,1
267,6,6,0
268,7,6,1
269,5,6,-1
270,5,6,-1
271,6,6,0
272,7,6,1
273,8,7,1
274,6,5,1
275,6,6,0
276,5,6,-1
277,6,6,0
278,7,6,1
279,5,5,0
280,6,6,0
281,5,6,-1
282,6,6,0
283,4,5,-1
284,6,5,1
285,7,6,1
286,7,7,0
287,6,5,1
288,5,6,-1
289,6,6,0
290,7,6,1
291,6,6,0
292,6,6,0
293,5,5,0
294,8,6,2
295,5,6,-1
296,5,6,-1
297,6,6,0
298,5,6,-1
299,5,5,0
300,5,5,0
301,5,5,0
302,6,3,3
303,5,6,-1
304,7,7,0
305,5,6,-1
306,5,5,0
307,6,6,0
308,7,6,1
309,4,6,-2
310,6,6,0
311,6,6,0
312,5,6,-1
313,6,6,0
314,7,6,1
315,7,6,1
316,6,6,0
317,6,6,0
318,5,5,0
319,6,6,0
320,7,6,1
321,7,6,1
322,6,6,0
323,6,6,0
324,5,6,-1
325,5,5,0
326,6,6,0
327,5,6,-1
328,8,6,2
329,5,5,0
330,6,6,0
331,6,6,0
332,5,6,-1
333,6,6,0
334,5,5,0
335,6,6,0
336,7,6,1
337,7,6,1
338,8,6,2
339,5,6,-1
340,4,6,-2
341,5,6,-1
342,5,5,0
343,6,6,0
344,5,6,-1
345,5,6,-1
346,7,6,1
347,4,5,-1
348,7,6,1
349,6,6,0
350,6,6,0
351,7,6,1
352,6,6,0
353,6,5,1
354,6,6,0
355,5,5,0
356,6,6,0
357,8,6,2
358,7,6,1
359,5,6,-1
360,5,5,0
361,5,6,-1
362,6,5,1
363,5,6,-1
364,5,6,-1
365,6,5,1
366,5,6,-1
367,5,6,-1
368,7,6,1
369,6,6,0
370,6,5,1
371,7,6,1
372,6,6,0
373,6,6,0
374,6,6,0
375,6,6,0
376,6,6,0
377,5,5,0
378,7,6,1
379,5,6,-1
380,6,6,0
381,6,6,0
382,6,6,0
383,7,6,1
384,6,6,0
385,6,6,0
386,7,6,1
387,5,6,-1
388,5,6,-1
389,5,5,0
390,6,5,1
391,7,6,1
392,6,5,1
393,6,6,0
394,4,5,-1
395,6,6,0
396,4,5,-1
397,6,6,0
398,6,6,0
399,3,6,-3
400,4,5,-1
401,7,6,1
402,6,6,0
403,5,6,-1
404,5,6,-1
405,8,6,2
406,7,6,1
407,5,5,0
408,7,6,1
409,7,6,1
410,5,5,0
411,6,6,0
412,8,7,1
413,6,6,0
414,6,6,0
415,7,6,1
416,6,5,1
417,5,6,-1
418,5,5,0
419,6,6,0
420,7,6,1
421,6,6,0
422,6,6,0
423,7,6,1
424,7,6,1
425,6,6,0
426,5,6,-1
427,6,6,0
428,6,6,0
429,5,6,-1
430,7,6,1
431,6,6,0
432,7,6,1
433,6,6,0
434,7,6,1
435,5,5,0
436,8,6,2
437,6,6,0
438,5,5,0
439,7,6,1
440,6,6,0
441,7,6,1
442,6,6,0
443,5,5,0
444,6,5,1
445,6,6,0
446,6,6,0
447,6,6,0
448,5,5,0
449,6,6,0
450,5,5,0
451,5,5,0
452,6,6,0
453,6,6,0
454,6,7,-1
455,6,6,0
456,5,5,0
457,5,6,-1
458,5,5,0
459,6,5,1
460,6,5,1
461,6,6,0
462,5,6,-1
463,6,6,0
464,6,6,0
465,7,6,1
466,5,6,-1
467,6,6,0
468,6,6,0
469,5,5,0
470,5,5,0
471,6,6,0
472,6,6,0
473,5,5,0
474,4,5,-1
475,6,6,0
476,5,5,0
477,5,6,-1
478,6,6,0
479,5,5,0
480,7,6,1
481,7,5,2
482,6,5,1
483,5,5,0
484,5,5,0
485,8,6,2
486,6,6,0
487,5,6,-1
488,6,5,1
489,3,5,-2
490,5,6,-1
491,5,5,0
492,6,6,0
493,5,5,0
494,5,6,-1
495,7,6,1
496,6,6,0
497,6,5,1
498,6,6,0
499,5,5,0
500,7,6,1
501,7,6,1
502,5,5,0
503,6,6,0
504,6,6,0
505,5,6,-1
506,6,6,0
507,6,6,0
508,6,5,1
509,6,6,0
510,8,6,2
511,5,5,0
512,6,5,1
513,5,6,-1
514,7,6,1
515,6,6,0
516,5,6,-1
517,5,5,0
518,6,6,0
519,6,5,1
520,5,5,0
521,5,5,0
522,6,5,1
523,5,5,0
524,6,6,0
525,5,6,-1
526,7,6,1
527,5,6,-1
528,5,6,-1
529,3,3,0
530,8,7,1
531,6,5,1
532,5,5,0
533,6,6,0
534,6,6,0
535,6,6,0
536,7,6,1
537,7,6,1
538,8,6,2
539,6,6,0
540,5,5,0
541,6,5,1
542,6,6,0
543,5,6,-1
544,6,6,0
545,6,6,0
546,7,6,1
547,5,5,0
548,6,6,0
549,7,6,1
550,6,6,0
551,7,6,1
552,7,6,1
553,6,6,0
554,6,7,-1
555,7,6,1
556,7,6,1
557,7,6,1
558,5,6,-1
559,6,6,0
560,7,5,2
561,7,6,1
562,6,6,0
563,6,6,0
564,6,6,0
565,6,5,1
566,5,5,0
567,6,6,0
568,6,6,0
569,6,5,1
570,6,6,0
571,5,6,-1
572,7,6,1
573,7,6,1
574,6,6,0
575,7,6,1
576,6,6,0
577,6,5,1
578,7,6,1
579,6,7,-1
580,6,5,1
581,5,6,-1
582,6,5,1
583,5,6,-1
584,5,6,-1
585,5,5,0
586,6,6,0
587,5,5,0
588,5,5,0
589,8,6,2
590,7,6,1
591,7,6,1
592,5,6,-1
593,6,6,0
594,6,6,0
595,6,6,0
596,8,6,2
597,8,6,2
598,5,5,0
599,5,6,-1
600,5,6,-1
601,5,6,-1
602,5,5,0
603,5,6,-1
604,6,6,0
605,7,7,0
606,5,6,-1
607,6,6,0
608,6,6,0
609,7,6,1
610,3,6,-3
611,5,6,-1
612,6,6,0
613,5,6,-1
614,6,6,0
615,6,6,0
616,6,6,0
617,7,6,1
618,5,6,-1
619,5,5,0
620,7,5,2
621,6,6,0
622,5,5,0
623,8,6,2
624,6,6,0
625,5,5,0
626,7,6,1
627,5,5,0
628,5,5,0
629,7,6,1
630,5,5,0
631,6,5,1
632,7,6,1
633,6,6,0
634,6,5,1
635,5,6,-1
636,6,6,0
637,5,5,0
638,5,5,0
639,7,6,1
640,6,6,0
641,6,6,0
642,7,6,1
643,6,5,1
644,5,6,-1
645,5,5,0
646,6,6,0
647,5,6,-1
648,7,6,1
649,6,6,0
650,6,6,0
651,7,6,1
652,7,6,1
653,6,6,0
654,7,6,1
655,7,6,1
656,6,6,0
657,6,5,1
658,6,6,0
659,4,6,-2
660,7,6,1
661,8,6,2
662,8,6,2
663,5,6,-1
664,7,6,1
665,6,6,0
666,6,6,0
667,5,5,0
668,6,6,0
669,6,6,0
670,5,6,-1
671,5,6,-1
672,5,5,0
673,5,6,-1
674,8,7,1
675,6,5,1
676,6,5,1
677,6,6,0
678,5,5,0
679,7,6,1
680,5,6,-1
681,6,6,0
682,6,6,0
683,6,5,1
684,6,6,0
685,7,6,1
686,4,6,-2
687,5,6,-1
688,5,6,-1
689,8,6,2
690,8,6,2
691,5,6,-1
692,5,6,-1
693,7,7,0
694,6,6,0
695,7,6,1
696,6,6,0
697,6,6,0
698,6,6,0
699,5,6,-1
700,5,5,0
701,5,6,-1
702,5,6,-1
703,6,6,0
704,6,6,0
705,7,6,1
706,7,7,0
707,7,6,1
708,6,6,0
709,6,6,0
710,5,5,0
711,6,6,0
712,8,6,2
713,6,7,-1
714,5,5,0
715,5,6,-1
716,6,6,0
717,7,6,1
718,5,5,0
719,7,6,1
720,5,5,0
721,5,5,0
722,5,5,0
723,7,6,1
724,6,6,0
725,7,6,1
726,6,6,0
727,6,6,0
728,6,6,0
729,5,5,0
730,5,5,0
731,6,6,0
732,7,6,1
733,7,6,1
734,5,5,0
735,5,6,-1
736,7,6,1
737,6,6,0
738,5,6,-1
739,7,6,1
740,7,6,1
741,5,6,-1
742,6,6,0
743,6,7,-1
744,7,7,0
745,7,6,1
746,6,6,0
747,5,5,0
748,6,6,0
749,7,6,1
750,6,6,0
751,6,6,0
752,6,6,0
753,7,7,0
754,5,5,0
755,5,5,0
756,5,6,-1
757,6,6,0
758,4,5,-1
759,6,6,0
760,6,6,0
761,7,6,1
762,7,6,1
763,7,6,1
764,6,6,0
765,7,6,1
766,5,6,-1
767,7,6,1
768,6,6,0
769,5,5,0
770,5,5,0
771,7,6,1
772,6,5,1
773,6,6,0
774,6,6,0
775,7,5,2
776,7,6,1
777,5,6,-1
778,7,6,1
779,6,6,0
780,6,6,0
781,7,5,2
782,6,6,0
783,5,6,-1
784,7,6,1
785,6,6,0
786,6,6,0
787,5,5,0
788,6,5,1
789,7,6,1
790,5,6,-1
791,7,6,1
792,5,5,0
793,6,6,0
794,5,5,0
795,5,5,0
796,6,6,0
797,6,6,0
798,5,5,0
799,5,5,0
800,7,6,1
801,6,6,0
802,5,6,-1
803,6,5,1
804,8,6,2
805,6,6,0
806,6,6,0
807,6,5,1
808,6,6,0
809,6,6,0
810,6,6,0
811,6,6,0
812,5,5,0
813,7,6,1
814,6,6,0
815,6,6,0
816,6,6,0
817,6,5,1
818,4,6,-2
819,7,6,1
820,6,6,0
821,5,5,0
822,6,6,0
823,8,6,2
824,5,5,0
825,5,5,0
826,8,7,1
827,6,6,0
828,6,5,1
829,6,6,0
830,6,6,0
831,6,5,1
832,7,6,1
833,7,6,1
834,7,6,1
835,5,6,-1
836,6,6,0
837,6,5,1
838,5,6,-1
839,6,6,0
840,7,6,1
841,6,6,0
842,5,6,-1
843,7,6,1
844,4,6,-2
845,6,6,0
846,6,6,0
847,6,6,0
848,6,6,0
849,7,6,1
850,5,6,-1
851,6,6,0
852,6,6,0
853,5,7,-2
854,6,6,0
855,5,6,-1
856,6,6,0
857,6,6,0
858,5,5,0
859,6,6,0
860,6,5,1
861,6,5,1
862,6,5,1
863,6,6,0
864,5,6,-1
865,8,7,1
866,5,6,-1
867,6,6,0
868,5,6,-1
869,5,6,-1
870,5,6,-1
871,7,6,1
872,6,7,-1
873,6,5,1
874,5,6,-1
875,4,6,-2
876,7,6,1
877,6,6,0
878,5,5,0
879,7,6,1
880,6,6,0
881,6,6,0
882,8,6,2
883,7,6,1
884,6,6,0
885,6,6,0
886,7,6,1
887,5,6,-1
888,5,5,0
889,6,6,0
890,5,6,-1
891,6,6,0
892,7,6,1
893,6,6,0
894,6,6,0
895,6,6,0
896,5,6,-1
897,5,6,-1
898,5,5,0
899,6,6,0
900,5,5,0
901,5,6,-1
902,6,6,0
903,6,5,1
904,5,5,0
905,6,6,0
906,7,6,1
907,7,6,1
908,6,6,0
909,6,6,0
910,6,5,1
911,5,6,-1
912,6,6,0
913,5,5,0
914,6,6,0
915,7,6,1
916,6,6,0
917,6,6,0
918,7,6,1
919,6,6,0
920,6,5,1
921,5,6,-1
922,6,6,0
923,7,7,0
924,6,6,0
925,6,6,0
926,7,7,0
927,5,6,-1
928,6,5,1
929,5,5,0
930,7,6,1
931,6,6,0
932,6,6,0
933,6,5,1
934,5,5,0
935,7,6,1
936,5,5,0
937,6,6,0
938,5,6,-1
939,6,6,0
940,5,5,0
941,6,6,0
942,8,5,3
943,5,6,-1
944,6,6,0
945,5,5,0
946,5,5,0
947,6,6,0
948,6,6,0
949,6,6,0
950,5,5,0
951,5,5,0
952,6,6,0
953,7,6,1
954,6,6,0
955,7,6,1
956,6,6,0
957,6,6,0
958,5,5,0
959,7,6,1
960,7,6,1
961,6,6,0
962,6,6,0
963,5,5,0
964,5,6,-1
965,5,5,0
966,6,6,0
967,6,6,0
968,5,6,-1
969,4,6,-2
970,6,6,0
971,6,5,1
972,5,6,-1
973,6,5,1
974,6,6,0
975,6,6,0
976,6,6,0
977,6,6,0
978,5,5,0
979,6,6,0
980,6,6,0
981,5,6,-1
982,6,6,0
983,7,6,1
984,5,6,-1
985,6,5,1
986,6,6,0
987,6,6,0
988,7,6,1
989,6,6,0
990,7,6,1
991,7,6,1
992,5,5,0
993,5,6,-1
994,3,5,-2
995,6,6,0
996,7,6,1
997,6,6,0
998,6,6,0
999,5,6,-1
1000,5,5,0
1001,6,6,0
1002,6,6,0
1003,6,5,1
1004,6,6,0
1005,6,6,0
1006,5,6,-1
1007,7,6,1
1008,7,6,1
1009,7,6,1
1010,6,6,0
1011,5,5,0
1012,7,6,1
1013,5,5,0
1014,7,6,1
1015,6,6,0
1016,6,5,1
1017,4,6,-2
1018,7,6,1
1019,5,6,-1
1020,7,6,1
1021,7,6,1
1022,6,6,0
1023,5,5,0
1024,5,5,0
1025,7,6,1
1026,8,6,2
1027,6,6,0
1028,5,5,0
1029,5,6,-1
1030,6,5,1
1031,6,6,0
1032,6,6,0
1033,6,6,0
1034,6,6,0
1035,5,5,0
1036,5,6,-1
1037,5,6,-1
1038,6,5,1
1039,5,6,-1
1040,7,6,1
1041,7,7,0
1042,6,5,1
1043,6,5,1
1044,5,6,-1
1045,5,5,0
1046,7,6,1
1047,5,6,-1
1048,7,6,1
1049,5,5,0
1050,5,6,-1
1051,5,5,0
1052,6,5,1
1053,6,6,0
1054,6,5,1
1055,5,6,-1
1056,4,5,-1
1057,5,5,0
1058,7,5,2
1059,6,6,0
1060,6,5,1
1061,5,6,-1
1062,5,5,0
1063,6,6,0
1064,5,6,-1
1065,6,6,0
1066,5,5,0
1067,6,5,1
1068,7,6,1
1069,5,5,0
1070,6,6,0
1071,6,6,0
1072,6,6,0
1073,6,6,0
1074,6,6,0
1075,6,6,0
1076,6,6,0
1077,7,6,1
1078,5,6,-1
1079,6,6,0
1080,5,6,-1
1081,6,6,0
1082,5,5,0
1083,6,6,0
1084,7,6,1
1085,6,6,0
1086,7,5,2
1087,6,6,0
1088,7,6,1
1089,5,5,0
1090,6,5,1
1091,5,5,0
1092,5,5,0
1093,7,5,2
1094,5,5,0
1095,6,6,0
1096,6,6,0
1097,6,5,1
1098,6,5,1
1099,5,6,-1
1100,6,6,0
1101,5,6,-1
1102,5,5,0
1103,6,6,0
1104,6,6,0
1105,7,6,1
1106,6,6,0
1107,7,6,1
1108,6,6,0
1109,4,6,-2
1110,6,6,0
1111,6,5,1
1112,6,6,0
1113,6,5,1
1114,6,5,1
1115,5,5,0
1116,6,6,0
1117,6,6,0
1118,6,6,0
1119,7,6,1
1120,8,6,2
1121,5,5,0
1122,6,6,0
1123,5,6,-1
1124,6,6,0
1125,7,6,1
1126,4,5,-1
1127,5,5,0
1128,6,5,1
1129,6,7,-1
1130,5,5,0
1131,6,6,0
1132,6,6,0
1133,7,6,1
1134,6,6,0
1135,6,5,1
1136,6,6,0
1137,6,6,0
1138,6,6,0
1139,6,5,1
1140,6,6,0
1141,6,6,0
1142,7,7,0
1143,5,5,0
1144,6,6,0
1145,7,7,0
1146,4,5,-1
1147,5,5,0
1148,7,6,1
1149,3,6,-3
1150,7,7,0
1151,7,5,2
1152,8,6,2
1153,6,5,1
1154,6,6,0
1155,5,5,0
1156,7,6,1
1157,7,6,1
1158,5,5,0
1159,6,6,0
1160,6,6,0
1161,5,5,0
1162,6,6,0
1163,6,6,0
1164,6,6,0
1165,6,6,0
1166,6,6,0
1167,7,6,1
1168,7,6,1
1169,8,6,2
1170,8,6,2
1171,6,6,0
1172,6,6,0
1173,6,6,0
1174,6,6,0
1175,6,6,0
1176,6,6,0
1177,6,6,0
1178,5,5,0
1179,7,6,1
1180,6,6,0
1181,6,6,0
1182,5,6,-1
1183,7,6,1
1184,8,6,2
1185,6,6,0
1186,6,6,0
1187,4,5,-1
1188,6,6,0
1189,7,6,1
1190,5,5,0
1191,5,6,-1
1192,4,5,-1
1193,7,6,1
1194,5,6,-1
1195,5,6,-1
1196,5,6,-1
1197,7,6,1
1198,6,6,0
1199,6,5,1
1200,7,6,1
1201,7,6,1
1202,5,5,0
1203,5,6,-1
1204,8,6,2
1205,7,6,1
1206,6,6,0
1207,5,6,-1
1208,6,6,0
1209,6,6,0
1210,8,6,2
1211,6,6,0
1212,5,5,0
1213,5,5,0
1214,6,6,0
1215,5,5,0
1216,6,6,0
1217,5,7,-2
1218,5,5,0
1219,6,6,0
1220,5,6,-1
1221,7,6,1
1222,6,6,0
1223,7,6,1
1224,6,6,0
1225,6,6,0
1226,6,5,1
1227,5,5,0
1228,6,6,0
1229,6,6,0
1230,6,5,1
1231,6,6,0
1232,8,6,2
1233,6,6,0
1234,6,6,0
1235,5,5,0
1236,5,5,0
1237,5,5,0
1238,6,6,0
1239,6,6,0
1240,6,6,0
1241,4,6,-2
1242,5,5,0
1243,5,5,0
1244,6,6,0
1245,6,6,0
1246,6,6,0
1247,7,5,2
1248,6,6,0
1249,6,5,1
1250,7,6,1
1251,4,5,-1
1252,6,6,0
1253,5,5,0
1254,6,6,0
1255,5,5,0
1256,5,5,0
1257,6,6,0
1258,7,6,1
1259,6,6,0
1260,6,6,0
1261,6,5,1
1262,6,6,0
1263,6,6,0
1264,6,6,0
1265,6,6,0
1266,6,6,0
1267,6,6,0
1268,5,6,-1
1269,5,6,-1
1270,6,5,1
1271,6,6,0
1272,6,6,0
1273,7,6,1
1274,6,6,0
1275,7,6,1
1276,5,5,0
1277,5,6,-1
1278,7,6,1
1279,5,5,0
1280,6,6,0
1281,5,6,-1
1282,6,6,0
1283,5,6,-1
1284,5,5,0
1285,5,5,0
1286,6,7,-1
1287,6,6,0
1288,7,6,1
1289,6,6,0
1290,8,6,2
1291,7,6,1
1292,6,5,1
1293,6,6,0
1294,5,6,-1
1295,6,6,0
1296,7,6,1
1297,6,6,0
1298,6,6,0
1299,7,6,1
1300,4,6,-2
1301,5,5,0
1302,5,5,0
1303,6,6,0
1304,6,6,0
1305,5,5,0
1306,6,6,0
1307,7,5,2
1308,8,6,2
1309,5,6,-1
1310,6,6,0
1311,6,6,0
1312,6,6,0
1313,6,6,0
1314,5,6,-1
1315,7,7,0
1316,4,6,-2
1317,4,6,-2
1318,6,6,0
1319,6,6,0
1320,5,5,0
1321,8,6,2
1322,5,5,0
1323,6,6,0
1324,7,6,1
1325,5,5,0
1326,6,6,0
1327,7,6,1
1328,6,6,0
1329,7,6,1
1330,5,5,0
1331,5,5,0
1332,6,6,0
1333,6,7,-1
1334,6,5,1
1335,6,6,0
1336,5,5,0
1337,6,6,0
1338,5,5,0
1339,7,6,1
1340,5,5,0
1341,5,6,-1
1342,7,6,1
1343,5,6,-1
1344,6,6,0
1345,6,6,0
1346,8,6,2
1347,7,6,1
1348,6,6,0
1349,6,6,0
1350,6,6,0
1351,5,5,0
1352,5,5,0
1353,6,6,0
1354,4,6,-2
1355,6,6,0
1356,6,6,0
1357,7,6,1
1358,5,5,0
1359,7,6,1
1360,7,6,1
1361,5,6,-1
1362,6,6,0
1363,5,6,-1
1364,6,6,0
1365,6,6,0
1366,6,6,0
1367,6,6,0
1368,7,6,1
1369,6,6,0
1370,5,6,-1
1371,6,6,0
1372,6,6,0
1373,6,6,0
1374,5,5,0
1375,6,6,0
1376,6,6,0
1377,6,6,0
1378,7,6,1
1379,5,5,0
1380,7,7,0
1381,5,5,0
1382,7,6,1
1383,5,5,0
1384,6,6,0
1385,6,6,0
1386,6,6,0
1387,6,7,-1
1388,7,6,1
1389,6,5,1
1390,7,6,1
1391,6,6,0
1392,7,6,1
1393,6,6,0
1394,6,6,0
1395,6,6,0
1396,7,5,2
1397,5,6,-1
1398,6,5,1
1399,6,6,0
1400,8,6,2
1401,6,6,0
1402,4,5,-1
1403,7,7,0
1404,6,6,0
1405,5,5,0
1406,5,6,-1
1407,6,5,1
1408,6,5,1
1409,4,5,-1
1410,6,5,1
1411,7,6,1
1412,5,6,-1
1413,5,5,0
1414,5,6,-1
1415,6,6,0
1416,6,6,0
1417,6,6,0
1418,5,5,0
1419,7,6,1
1420,5,6,-1
1421,6,5,1
1422,5,5,0
1423,6,6,0
1424,7,6,1
1425,5,5,0
1426,6,6,0
1427,5,5,0
1428,6,6,0
1429,6,6,0
1430,5,6,-1
1431,6,6,0
1432,6,6,0
1433,5,6,-1
1434,6,6,0
1435,5,5,0
1436,5,5,0
1437,6,5,1
1438,6,6,0
1439,6,6,0
1440,5,5,0
1441,6,6,0
1442,6,6,0
1443,6,6,0
1444,6,6,0
1445,5,5,0
1446,7,6,1
1447,6,6,0
1448,6,6,0
1449,5,5,0
1450,7,6,1
1451,5,6,-1
1452,6,6,0
1453,6,6,0
1454,6,6,0
1455,6,5,1
1456,6,6,0
1457,7,6,1
1458,7,6,1
1459,6,6,0
1460,5,6,-1
1461,5,6,-1
1462,6,6,0
1463,5,6,-1
1464,6,6,0
1465,5,5,0
1466,5,6,-1
1467,6,6,0
1468,7,6,1
1469,7,6,1
1470,6,6,0
1471,7,6,1
1472,6,6,0
1473,5,5,0
1474,6,6,0
1475,5,5,0
1476,7,6,1
1477,5,6,-1
1478,7,6,1
1479,6,6,0
1480,6,6,0
1481,6,6,0
1482,6,6,0
1483,5,6,-1
1484,7,6,1
1485,5,5,0
1486,4,6,-2
1487,6,6,0
1488,8,7,1
1489,6,5,1
1490,6,6,0
1491,8,6,2
1492,6,6,0
1493,5,5,0
1494,6,5,1
1495,6,5,1
1496,8,6,2
1497,8,6,2
1498,5,6,-1
1499,6,6,0
1500,5,6,-1
1501,6,6,0
1502,5,5,0
1503,7,6,1
1504,6,6,0
1505,6,6,0
1506,7,6,1
1507,7,6,1
1508,5,5,0
1509,5,5,0
1510,5,5,0
1511,5,6,-1
1512,6,6,0
1513,6,6,0
1514,6,6,0
1515,6,5,1
1516,5,6,-1
1517,4,5,-1
1518,6,5,1
1519,4,6,-2
1520,5,6,-1
1521,5,5,0
1522,5,5,0
1523,5,6,-1
1524,6,5,1
1525,6,6,0
1526,5,6,-1
1527,5,5,0
1528,7,6,1
1529,5,6,-1
1530,5,5,0
1531,6,6,0
1532,6,6,0
1533,6,6,0
1534,6,6,0
1535,6,5,1
1536,7,6,1
1537,6,6,0
1538,5,6,-1
1539,4,6,-2
1540,6,6,0
1541,7,6,1
1542,6,6,0
1543,5,6,-1
1544,8,6,2
1545,6,6,0
1546,7,6,1
1547,6,6,0
1548,7,6,1
1549,6,5,1
1550,6,6,0
1551,7,6,1
1552,5,6,-1
1553,6,6,0
1554,5,5,0
1555,7,6,1
1556,6,6,0
1557,6,7,-1
1558,7,6,1
1559,5,5,0
1560,8,6,2
1561,5,5,0
1562,6,5,1
1563,5,5,0
1564,5,6,-1
1565,7,6,1
1566,6,6,0
1567,7,7,0
1568,5,6,-1
1569,7,6,1
1570,6,6,0
1571,6,6,0
1572,6,6,0
1573,7,6,1
1574,7,6,1
1575,6,5,1
1576,7,6,1
1577,6,5,1
1578,6,6,0
1579,6,6,0
1580,6,5,1
1581,6,6,0
1582,6,6,0
1583,5,5,0
1584,6,6,0
1585,6,6,0
1586,5,5,0
1587,6,6,0
1588,5,5,0
1589,7,6,1
1590,5,5,0
1591,7,6,1
1592,5,6,-1
1593,6,6,0
1594,5,5,0
1595,5,5,0
1596,6,6,0
1597,5,6,-1
1598,6,6,0
1599,6,5,1
1600,5,5,0
1601,6,6,0
1602,6,6,0
1603,6,5,1
1604,8,7,1
1605,8,6,2
1606,5,6,-1
1607,5,5,0
1608,5,5,0
1609,4,5,-1
1610,6,6,0
1611,4,5,-1
1612,6,5,1
1613,5,6,-1
1614,5,6,-1
1615,7,6,1
1616,5,6,-1
1617,7,6,1
1618,5,6,-1
1619,6,6,0
1620,7,6,1
1621,6,6,0
1622,6,6,0
1623,6,6,0
1624,6,6,0
1625,5,5,0
1626,6,6,0
1627,7,6,1
1628,6,6,0
1629,6,5,1
1630,7,6,1
1631,6,6,0
